Date,Daily Sterling overnight index average (SONIA) rate              [a] [b]             IUDSOIA
2024-08-07,4.95
2024-08-06,4.95
2024-08-05,4.95
2024-08-02,4.95
2024-08-01,4.95
2024-07-31,5.2
2024-07-30,5.2
2024-07-29,5.2
2024-07-26,5.2
2024-07-25,5.2
2024-07-24,5.2
2024-07-23,5.2
2024-07-22,5.2
2024-07-19,5.2
2024-07-18,5.2
2024-07-17,5.2
2024-07-16,5.2
2024-07-15,5.2
2024-07-12,5.2
2024-07-11,5.2
2024-07-10,5.2
2024-07-09,5.2
2024-07-08,5.2
2024-07-05,5.2
2024-07-04,5.2
2024-07-03,5.2
2024-07-02,5.2
2024-07-01,5.2
2024-06-28,5.2
2024-06-27,5.2
2024-06-26,5.2
2024-06-25,5.2
2024-06-24,5.2
2024-06-21,5.2
2024-06-20,5.2
2024-06-19,5.2
2024-06-18,5.2
2024-06-17,5.2
