Gmt time,Open,High,Low,Close,Volume
20.09.2018 21:00:00.000,6594,6604,6425,6442,579867103.2543999
21.09.2018 21:00:00.000,6442,6442,6442,6442,0
22.09.2018 21:00:00.000,6442,6442,6442,6442,0
23.09.2018 21:00:00.000,6442,6442,6442,6442,0
24.09.2018 21:00:00.000,6260,6660,6250,6640,750874891.8878
25.09.2018 21:00:00.000,6699,6779,6625,6744,199330801.9937
26.09.2018 21:00:00.000,6741,6813,6661,6668,3789999.9916
27.09.2018 21:00:00.000,6789,6971,6786,6962,5131999.9694
28.09.2018 21:00:00.000,6962,6962,6962,6962,0
29.09.2018 21:00:00.000,6962,6962,6962,6962,0
30.09.2018 21:00:00.000,6885,6918,6846,6880,3334999.9487
01.10.2018 21:00:00.000,6917,6930,6791,6832,4457999.915
02.10.2018 21:00:00.000,6694,6729,6604,6624,3406000.0181
03.10.2018 21:00:00.000,6727,6800,6611,6614,4223999.9472
04.10.2018 21:00:00.000,6546,6638,6518,6593,4050999.9692
05.10.2018 21:00:00.000,6593,6593,6593,6593,0
06.10.2018 21:00:00.000,6593,6593,6593,6593,0
07.10.2018 21:00:00.000,6593,6593,6593,6593,0
08.10.2018 21:00:00.000,6534,6633,6523,6565,2941000.0146000003
09.10.2018 21:00:00.000,6585,6606,6489,6572,4831000.059800001
10.10.2018 21:00:00.000,6203,6342,6153,6286,4521000.0277
11.10.2018 21:00:00.000,6178,6288,6152,6261,4873000.025599999
12.10.2018 21:00:00.000,6261,6261,6261,6261,0
13.10.2018 21:00:00.000,6261,6261,6261,6261,0
14.10.2018 21:00:00.000,6249,6313,6204,6214,4113999.9479
15.10.2018 21:00:00.000,6284,6352,6207,6346,4162000.0004
16.10.2018 21:00:00.000,6461,6560,6426,6487,4833999.9319
17.10.2018 21:00:00.000,6474,6490,6404,6409,4751000.1063
18.10.2018 21:00:00.000,6264,6346,6198,6330,4714000.1059
19.10.2018 21:00:00.000,6330,6330,6330,6330,0
20.10.2018 21:00:00.000,6330,6330,6330,6330,0
21.10.2018 21:00:00.000,6229,6344,6179,6315,3585999.9060000004
22.10.2018 21:00:00.000,6229,6311,6162,6178,3745999.9472000003
23.10.2018 21:00:00.000,6215,6263,6081,6201,3903999.9843
24.10.2018 21:00:00.000,5901,5926,5847,5860,1001999.9779
25.10.2018 21:00:00.000,6028,6035,5767,5834,4152999.9376
26.10.2018 21:00:00.000,5834,5834,5834,5834,0
27.10.2018 21:00:00.000,5834,5834,5834,5834,0
28.10.2018 21:00:00.000,5966,5967,5775,5803,3126000.0168
29.10.2018 21:00:00.000,5733,5875,5664,5863,4087999.9995
30.10.2018 21:00:00.000,6207,6224,6032,6134,3407999.903
31.10.2018 21:00:00.000,6245,6344,6202,6286,2980000.0042
01.11.2018 21:00:00.000,6214,6263,6046,6189,3930999.9645
02.11.2018 21:00:00.000,6189,6189,6189,6189,0
03.11.2018 21:00:00.000,6189,6189,6189,6189,0
04.11.2018 22:00:00.000,6072,6169,6000,6000,4006000.0717
05.11.2018 22:00:00.000,5985,6117,5966,6084,2311000.0194
06.11.2018 22:00:00.000,6067,6175,6029,6103,5727000.1173
07.11.2018 22:00:00.000,6263,6284,6200,6254,2206999.9949000003
08.11.2018 22:00:00.000,6216,6281,6204,6236,2481999.9783
09.11.2018 22:00:00.000,6236,6236,6236,6236,0
10.11.2018 22:00:00.000,6236,6236,6236,6236,0
11.11.2018 22:00:00.000,6153,6169,6046,6048,3127000.0039999997
12.11.2018 22:00:00.000,5743,5926,5731,5895,3620000.0569
13.11.2018 22:00:00.000,5879,5896,5792,5852,4900000.0357
14.11.2018 22:00:00.000,5803,5854,5782,5797,3045000.0612999997
15.11.2018 22:00:00.000,5796,5874,5681,5688,3553999.9902999997
16.11.2018 22:00:00.000,5688,5688,5688,5688,0
17.11.2018 22:00:00.000,5688,5688,5688,5688,0
18.11.2018 22:00:00.000,5658,5892,5642,5866,3430000.022
19.11.2018 22:00:00.000,5747,5790,5682,5689,3025999.9781
20.11.2018 22:00:00.000,5525,5725,5507,5685,3109000.0496000005
21.11.2018 22:00:00.000,5694,5725,5606,5684,3249000.0128
