Date,Price,Open,High,Low,Vol.,Change %
03/26/2024,84.14,84.14,84.14,84.14,,-0.10%
03/25/2024,84.23,84.23,84.23,84.23,,0.24%
03/22/2024,84.03,84.03,84.03,84.03,,-0.13%
03/21/2024,84.14,84.14,84.14,84.14,,-0.01%
03/20/2024,84.15,84.15,84.15,84.15,,-0.56%
03/19/2024,84.62,84.62,84.62,84.62,,0.18%
03/18/2024,84.47,84.47,84.47,84.47,,0.78%
03/15/2024,83.82,83.82,83.82,83.82,,-0.10%
03/14/2024,83.9,83.9,83.9,83.9,,0.53%
03/13/2024,83.46,83.45,83.45,83.45,,1.59%
03-12-24,82.14,82.14,82.14,82.14,,-0.16%
03-11-24,82.28,82.28,82.28,82.28,,0.37%
03-08-24,81.97,81.97,81.97,81.97,,-0.57%
03-07-24,82.44,82.44,82.44,82.44,,0.03%
03-06-24,82.42,82.42,82.42,82.42,,0.98%
03-05-24,81.62,81.62,81.62,81.62,,-0.54%
03-04-24,82.06,82.06,82.06,82.06,,-1.22%
03-01-24,83.07,83.07,83.07,83.07,,2.71%
02/29/2024,80.88,80.88,80.88,80.88,,0.02%
02/28/2024,80.86,80.86,80.86,80.86,,-0.09%
02/27/2024,80.93,80.93,80.93,80.93,,0.12%
02/26/2024,80.83,80.83,80.83,80.83,,0.15%
02/23/2024,80.71,80.71,80.71,80.71,,-0.59%
02/22/2024,81.19,81.19,81.19,81.19,,0.21%
02/21/2024,81.02,81.02,81.02,81.02,,0.30%
02/20/2024,80.78,80.78,80.78,80.78,,-0.56%
02/16/2024,81.24,81.23,81.23,81.23,,0.26%
02/15/2024,81.02,81.02,81.02,81.02,,0.76%
02/14/2024,80.41,80.41,80.41,80.41,,-0.85%
02/13/2024,81.1,81.1,81.1,81.1,,0.63%
02-12-24,80.59,80.59,80.59,80.59,,-0.09%
02-09-24,80.66,80.66,80.66,80.66,,0.12%
02-08-24,80.56,80.56,80.56,80.56,,2.17%
02-07-24,78.85,78.85,78.85,78.85,,0.65%
02-06-24,78.35,78.34,78.34,78.34,,0.34%
02-05-24,78.08,78.08,78.08,78.08,,0.93%
02-02-24,77.36,77.36,77.36,77.36,,-1.53%
02-01-24,78.57,78.57,78.57,78.57,,-0.35%
01/31/2024,78.85,78.85,78.85,78.85,,0.02%
01/30/2024,78.83,78.83,78.83,78.83,,0.07%
01/29/2024,78.78,78.78,78.78,78.78,,-0.14%
01/26/2024,78.89,78.89,78.89,78.89,,0.10%
01/25/2024,78.81,78.81,78.81,78.81,,0.61%
01/24/2024,78.33,78.33,78.33,78.33,,0.20%
01/23/2024,78.18,78.18,78.18,78.18,,-0.16%
01/22/2024,78.3,78.3,78.3,78.3,,0.68%
01/19/2024,77.77,77.77,77.77,77.77,,-0.28%
01/18/2024,77.99,77.99,77.99,77.99,,0.71%
01/17/2024,77.45,77.45,77.45,77.45,,-0.32%
01/16/2024,77.7,77.7,77.7,77.7,,-0.23%
01-12-24,77.88,77.88,77.88,77.88,,0.52%
01-11-24,77.48,77.48,77.48,77.48,,0.57%
01-10-24,77.04,77.04,77.04,77.04,,-0.48%
01-09-24,77.41,77.41,77.41,77.41,,1.64%
01-08-24,76.16,76.16,76.16,76.16,,-2.72%
01-05-24,78.29,78.29,78.29,78.29,,1.49%
01-04-24,77.14,77.14,77.14,77.14,,-1.36%
01-03-24,78.2,78.2,78.2,78.2,,2.95%
01-02-24,75.97,75.97,75.97,75.97,,-1.77%
12/29/2023,77.33,77.33,77.33,77.33,,0.05%
12/28/2023,77.29,77.29,77.29,77.29,,-0.13%
12/27/2023,77.39,77.39,77.39,77.39,,-0.26%
12/26/2023,77.59,77.59,77.59,77.59,,0.39%
12/22/2023,77.29,77.29,77.29,77.29,,0.03%
12/21/2023,77.27,77.27,77.27,77.27,,-0.13%
12/20/2023,77.36,77.36,77.36,77.36,,0.22%
12/19/2023,77.19,77.19,77.19,77.19,,0.62%
12/18/2023,76.72,76.72,76.72,76.72,,0.49%
12/15/2023,76.34,76.34,76.34,76.34,,0.05%
12/14/2023,76.3,76.3,76.3,76.3,,1.92%
12/13/2023,74.87,74.87,74.87,74.87,,-0.15%
12-12-23,74.98,74.98,74.98,74.98,,-2.33%
12-11-23,76.77,76.77,76.77,76.77,,0.33%
12-08-23,76.51,76.51,76.51,76.51,,1.66%
12-07-23,75.27,75.27,75.27,75.27,,-0.05%
12-06-23,75.3,75.3,75.3,75.3,,-2.81%
12-05-23,77.48,77.48,77.48,77.48,,-0.92%
12-04-23,78.19,78.19,78.19,78.19,,-1.57%
12-01-23,79.44,79.44,79.44,79.44,,-4.93%
11/30/2023,83.56,83.56,83.56,83.56,,0.08%
11/29/2023,83.49,83.49,83.49,83.49,,0.04%
11/28/2023,83.46,83.46,83.46,83.46,,0.17%
11/27/2023,83.32,83.32,83.32,83.32,,-0.09%
11/24/2023,83.4,83.4,83.4,83.4,,-0.44%
11/22/2023,83.76,83.76,83.76,83.76,,-0.19%
11/21/2023,83.92,83.92,83.92,83.92,,0.17%
11/20/2023,83.78,83.78,83.78,83.78,,0.84%
11/17/2023,83.08,83.08,83.08,83.08,,1.92%
11/16/2023,81.51,81.52,81.52,81.52,,-2.04%
11/15/2023,83.21,83.21,83.21,83.21,,-0.72%
11/14/2023,83.82,83.82,83.82,83.82,,-0.05%
11/13/2023,83.86,83.86,83.86,83.86,,0.61%
11-10-23,83.35,83.35,83.35,83.35,,1.10%
11-09-23,82.44,82.44,82.44,82.44,,0.29%
11-08-23,82.2,82.2,82.2,82.2,,-1.65%
11-07-23,83.58,83.58,83.58,83.58,,-3.17%
11-06-23,86.32,86.33,86.33,86.33,,0.46%
11-03-23,85.93,85.93,85.93,85.93,,-1.97%
11-02-23,87.65,87.65,87.65,87.65,,2.83%
11-01-23,85.24,85.24,85.24,85.24,,-5.04%
10/31/2023,89.76,89.76,89.76,89.76,,0.09%
10/30/2023,89.68,89.67,89.67,89.67,,-0.22%
10/27/2023,89.88,89.88,89.88,89.88,,0.26%
10/26/2023,89.64,89.64,89.64,89.64,,-0.43%
10/25/2023,90.02,90.02,90.02,90.02,,0.55%
10/24/2023,89.54,89.54,89.54,89.54,,-0.60%
10/23/2023,90.07,90.08,90.08,90.08,,-0.65%
10/20/2023,90.66,90.66,90.66,90.66,,-0.19%
10/19/2023,90.83,90.83,90.83,90.83,,0.34%
10/18/2023,90.53,90.53,90.53,90.53,,0.77%
10/17/2023,89.84,89.84,89.84,89.84,,0.26%
10/16/2023,89.61,89.61,89.61,89.61,,-0.57%
10/13/2023,90.12,90.12,90.12,90.12,,3.15%
10-12-23,87.37,87.37,87.37,87.37,,0.18%
10-11-23,87.21,87.21,87.21,87.21,,-1.14%
10-10-23,88.22,88.22,88.22,88.22,,-0.36%
10-09-23,88.54,88.53,88.53,88.53,,3.09%
10-06-23,85.88,85.88,85.88,85.88,,0.44%
10-05-23,85.5,85.5,85.5,85.5,,-1.64%
10-04-23,86.93,86.93,86.93,86.93,,-4.92%
10-03-23,91.43,91.43,91.43,91.43,,0.11%
10-02-23,91.33,91.33,91.33,91.33,,-2.12%
09/29/2023,93.31,93.31,93.31,93.31,,0.16%
09/28/2023,93.16,93.16,93.16,93.16,,-0.11%
09/27/2023,93.26,93.26,93.26,93.26,,0.26%
09/26/2023,93.03,93.03,93.03,93.03,,0.12%
09/25/2023,92.91,92.91,92.91,92.91,,-0.15%
09/22/2023,93.05,93.05,93.05,93.05,,0.02%
09/21/2023,93.04,93.04,93.04,93.04,,-0.11%
09/20/2023,93.14,93.14,93.14,93.14,,-0.01%
09/19/2023,93.15,93.15,93.15,93.15,,-0.53%
09/18/2023,93.64,93.64,93.64,93.64,,0.10%
09/15/2023,93.56,93.56,93.56,93.56,,0.11%
09/14/2023,93.45,93.45,93.45,93.45,,1.37%
09/13/2023,92.18,92.18,92.18,92.18,,-0.17%
09-12-23,92.34,92.34,92.34,92.34,,1.05%
09-11-23,91.38,91.38,91.38,91.38,,0.01%
09-08-23,91.37,91.37,91.37,91.37,,0.56%
09-07-23,90.86,90.86,90.86,90.86,,-0.91%
09-06-23,91.69,91.69,91.69,91.69,,0.98%
09-05-23,90.8,90.8,90.8,90.8,,1.25%
09-01-23,89.68,89.68,89.68,89.68,,3.72%
08/31/2023,86.46,86.47,86.47,86.47,,0.05%
08/30/2023,86.42,86.42,86.42,86.42,,-0.01%
08/29/2023,86.43,86.43,86.43,86.43,,0.05%
08/28/2023,86.39,86.39,86.39,86.39,,-0.02%
08/25/2023,86.4,86.4,86.4,86.4,,0.26%
08/24/2023,86.18,86.18,86.18,86.18,,0.11%
08/23/2023,86.09,86.09,86.09,86.09,,-0.22%
08/22/2023,86.28,86.28,86.28,86.28,,-0.10%
08/21/2023,86.36,86.36,86.36,86.36,,-0.09%
08/18/2023,86.44,86.44,86.44,86.44,,0.51%
08/17/2023,86,86,86,86,,0.37%
08/16/2023,85.68,85.68,85.68,85.68,,-0.82%
08/15/2023,86.39,86.39,86.39,86.39,,-0.93%
08/14/2023,87.2,87.2,87.2,87.2,,-0.48%
08-11-23,87.63,87.63,87.63,87.63,,0.36%
08-10-23,87.32,87.32,87.32,87.32,,-0.97%
08-09-23,88.18,88.17,88.17,88.17,,0.80%
08-08-23,87.47,87.47,87.47,87.47,,0.83%
08-07-23,86.75,86.75,86.75,86.75,,-0.55%
08-04-23,87.23,87.23,87.23,87.23,,1.21%
08-03-23,86.18,86.19,86.19,86.19,,2.22%
08-02-23,84.32,84.32,84.32,84.32,,-1.48%
08-01-23,85.58,85.58,85.58,85.58,,6.38%
07/31/2023,80.44,80.44,80.44,80.44,,0.02%
07/28/2023,80.43,80.43,80.43,80.43,,0.02%
07/27/2023,80.42,80.42,80.42,80.42,,0.15%
07/26/2023,80.29,80.29,80.29,80.29,,-0.24%
07/25/2023,80.49,80.49,80.49,80.49,,0.23%
07/24/2023,80.3,80.3,80.3,80.3,,0.50%
07/21/2023,79.9,79.9,79.9,79.9,,0.61%
07/20/2023,79.41,79.41,79.41,79.41,,0.14%
07/19/2023,79.3,79.3,79.3,79.3,,-0.04%
07/18/2023,79.33,79.33,79.33,79.33,,0.64%
07/17/2023,78.83,78.83,78.83,78.83,,-0.61%
07/14/2023,79.31,79.31,79.31,79.31,,-0.72%
07/13/2023,79.89,79.89,79.89,79.89,,1.02%
07-12-23,79.07,79.08,79.08,79.08,,0.36%
07-11-23,78.79,78.8,78.8,78.8,,1.52%
07-10-23,77.62,77.62,77.62,77.62,,-0.80%
07-07-23,78.24,78.24,78.24,78.24,,2.23%
07-06-23,76.54,76.54,76.54,76.54,,0.15%
07-05-23,76.42,76.42,76.42,76.42,,2.02%
07-03-23,74.91,74.91,74.91,74.91,,-0.11%
06/30/2023,74.99,74.99,74.99,74.99,,0.06%
06/29/2023,74.95,74.95,74.95,74.95,,0.02%
06/28/2023,74.94,74.94,74.94,74.94,,0.21%
06/27/2023,74.78,74.78,74.78,74.78,,-0.20%
06/26/2023,74.93,74.93,74.93,74.93,,0.07%
06/23/2023,74.88,74.88,74.88,74.88,,-0.05%
06/22/2023,74.91,74.91,74.91,74.91,,-1.04%
06/21/2023,75.7,75.7,75.7,75.7,,0.80%
06/20/2023,75.1,75.1,75.1,75.1,,-0.13%
06/16/2023,75.2,75.2,75.2,75.2,,0.68%
06/15/2023,74.69,74.69,74.69,74.69,,1.73%
06/14/2023,73.42,73.42,73.42,73.42,,-0.64%
06/13/2023,73.89,73.89,73.89,73.89,,2.06%
06-12-23,72.41,72.41,72.41,72.41,,-2.66%
06-09-23,74.38,74.38,74.38,74.38,,-1.09%
06-08-23,75.2,75.2,75.2,75.2,,-0.84%
06-07-23,75.83,75.83,75.83,75.83,,0.45%
06-06-23,75.5,75.5,75.5,75.5,,0.48%
06-05-23,75.14,75.14,75.14,75.14,,0.98%
06-02-23,74.41,74.41,74.41,74.41,,2.27%
06-01-23,72.75,72.75,72.75,72.75,,-2.90%
05/31/2023,74.93,74.92,74.92,74.92,,-0.03%
05/30/2023,74.95,74.95,74.95,74.95,,-0.25%
05/26/2023,75.14,75.14,75.14,75.14,,0.19%
05/25/2023,75,75,75,75,,-0.55%
05/24/2023,75.41,75.41,75.41,75.41,,0.57%
05/23/2023,74.99,74.99,74.99,74.99,,0.30%
05/22/2023,74.77,74.77,74.77,74.77,,0.21%
05/19/2023,74.61,74.61,74.61,74.61,,-0.20%
05/18/2023,74.76,74.76,74.76,74.76,,-0.57%
05/17/2023,75.18,75.18,75.18,75.18,,1.03%
05/16/2023,74.42,74.42,74.42,74.42,,-0.16%
05/15/2023,74.54,74.54,74.54,74.54,,0.71%
05-12-23,74.01,74.01,74.01,74.01,,-0.98%
05-11-23,74.74,74.74,74.74,74.74,,-1.19%
05-10-23,75.64,75.64,75.64,75.64,,-1.19%
05-09-23,76.55,76.55,76.55,76.55,,0.39%
05-08-23,76.25,76.25,76.25,76.25,,1.83%
05-05-23,74.88,74.88,74.88,74.88,,3.28%
05-04-23,72.5,72.5,72.5,72.5,,0.31%
05-03-23,72.28,72.28,72.28,72.28,,-3.65%
05-02-23,75.01,75.01,75.01,75.01,,-5.33%
05-01-23,79.24,79.24,79.24,79.24,,-5.00%
04/28/2023,83.41,83.41,83.41,83.41,,0.11%
04/27/2023,83.32,83.32,83.32,83.32,,0.11%
04/26/2023,83.23,83.23,83.23,83.23,,-0.46%
04/25/2023,83.62,83.62,83.62,83.62,,-0.34%
04/24/2023,83.9,83.9,83.9,83.9,,0.23%
04/21/2023,83.71,83.71,83.71,83.71,,0.19%
04/20/2023,83.55,83.55,83.55,83.55,,-0.96%
04/19/2023,84.36,84.36,84.36,84.36,,-0.75%
04/18/2023,85,85,85,85,,0.05%
04/17/2023,84.95,84.95,84.95,84.95,,-0.81%
04/14/2023,85.64,85.64,85.64,85.64,,0.03%
04/13/2023,85.61,85.61,85.61,85.61,,-0.85%
04-12-23,86.35,86.35,86.35,86.35,,1.36%
04-11-23,85.19,85.19,85.19,85.19,,1.08%
04-10-23,84.28,84.28,84.28,84.28,,-0.84%
04-06-23,84.99,84.99,84.99,84.99,,0.47%
04-05-23,84.59,84.59,84.59,84.59,,0.15%
04-04-23,84.47,84.47,84.47,84.47,,-0.26%
04-03-23,84.69,84.69,84.69,84.69,,7.89%
03/31/2023,78.49,78.49,78.49,78.49,,0.03%
03/30/2023,78.47,78.47,78.47,78.47,,0.08%
03/29/2023,78.41,78.41,78.41,78.41,,-0.05%
03/28/2023,78.45,78.45,78.45,78.45,,0.06%
03/27/2023,78.4,78.4,78.4,78.4,,0.70%
03/24/2023,77.86,77.86,77.86,77.86,,-0.36%
03/23/2023,78.13,78.13,78.13,78.13,,-0.28%
03/22/2023,78.35,78.35,78.35,78.35,,0.49%
03/21/2023,77.97,77.97,77.97,77.97,,0.78%
03/20/2023,77.37,77.37,77.37,77.37,,0.30%
03/17/2023,77.14,77.14,77.14,77.14,,-0.92%
03/16/2023,77.85,77.85,77.85,77.85,,0.77%
03/15/2023,77.25,77.25,77.25,77.25,,-2.46%
03/14/2023,79.2,79.2,79.2,79.2,,-2.24%
03/13/2023,81.01,81.01,81.01,81.01,,-1.39%
03-10-23,82.16,82.16,82.16,82.16,,1.13%
03-09-23,81.24,81.24,81.24,81.24,,-0.89%
03-08-23,81.97,81.97,81.97,81.97,,-0.12%
03-07-23,82.07,82.07,82.07,82.07,,-2.76%
03-06-23,84.4,84.4,84.4,84.4,,0.10%
03-03-23,84.31,84.31,84.31,84.31,,1.51%
03-02-23,83.06,83.06,83.06,83.06,,0.87%
03-01-23,82.35,82.34,82.34,82.34,,0.32%
02/28/2023,82.08,82.08,82.08,82.08,,0.04%
02/27/2023,82.05,82.05,82.05,82.05,,-0.09%
02/24/2023,82.12,82.12,82.12,82.12,,0.17%
02/23/2023,81.98,81.98,81.98,81.98,,0.36%
02/22/2023,81.69,81.69,81.69,81.69,,-0.58%
02/21/2023,82.17,82.17,82.17,82.17,,0.12%
02/17/2023,82.07,82.07,82.07,82.07,,-0.92%
02/16/2023,82.83,82.83,82.83,82.83,,-0.14%
02/15/2023,82.95,82.95,82.95,82.95,,-0.12%
02/14/2023,83.05,83.05,83.05,83.05,,-0.56%
02/13/2023,83.52,83.52,83.52,83.52,,0.44%
02-10-23,83.15,83.15,83.15,83.15,,1.58%
02-09-23,81.86,81.86,81.86,81.86,,-0.37%
02-08-23,82.17,82.17,82.17,82.17,,1.21%
02-07-23,81.19,81.19,81.19,81.19,,2.80%
02-06-23,78.97,78.97,78.97,78.97,,1.12%
02-03-23,78.1,78.1,78.1,78.1,,-2.47%
02-02-23,80.07,80.07,80.07,80.07,,-0.31%
02-01-23,80.32,80.32,80.32,80.32,,-0.07%
01/31/2023,80.38,80.38,80.38,80.38,,-0.04%
01/30/2023,80.42,80.42,80.42,80.42,,-0.21%
01/27/2023,80.58,80.58,80.58,80.58,,-0.19%
01/26/2023,80.74,80.74,80.74,80.74,,0.20%
01/25/2023,80.57,80.57,80.57,80.57,,-0.03%
01/24/2023,80.6,80.6,80.6,80.6,,-0.58%
01/23/2023,81.07,81.07,81.07,81.07,,0.09%
01/20/2023,81,81,81,81,,0.63%
01/19/2023,80.49,80.49,80.49,80.49,,0.38%
01/18/2023,80.19,80.19,80.19,80.19,,-0.59%
01/17/2023,80.66,80.66,80.66,80.66,,0.80%
01/13/2023,80.02,80.02,80.02,80.02,,0.80%
01-12-23,79.39,79.39,79.39,79.39,,0.90%
01-11-23,78.68,78.68,78.68,78.68,,2.10%
01-10-23,77.06,77.06,77.06,77.06,,0.83%
01-09-23,76.43,76.43,76.43,76.43,,1.37%
01-06-23,75.4,75.4,75.4,75.4,,-0.08%
01-05-23,75.46,75.46,75.46,75.46,,1.03%
01-04-23,74.69,74.69,74.69,74.69,,-4.13%
01-03-23,77.91,77.91,77.91,77.91,,0.92%
12/30/2022,77.2,77.2,77.2,77.2,,-0.06%
12/29/2022,77.24,77.24,77.24,77.24,,-0.20%
12/28/2022,77.39,77.39,77.39,77.39,,-0.16%
12/27/2022,77.52,77.52,77.52,77.52,,0.05%
12/23/2022,77.48,77.48,77.48,77.48,,0.79%
12/22/2022,76.87,76.87,76.87,76.87,,-0.29%
12/21/2022,77.1,77.1,77.1,77.1,,0.91%
12/20/2022,76.4,76.4,76.4,76.4,,0.13%
12/19/2022,76.31,76.31,76.31,76.31,,0.55%
12/16/2022,75.89,75.89,75.89,75.89,,-1.31%
12/15/2022,76.9,76.9,76.9,76.9,,-0.99%
12/14/2022,77.67,77.67,77.67,77.67,,1.36%
12/13/2022,76.62,76.62,76.62,76.62,,1.99%
12-12-22,75.13,75.13,75.13,75.13,,1.93%
12-09-22,73.71,73.71,73.71,73.71,,0.35%
12-08-22,73.45,73.45,73.45,73.45,,-0.57%
12-07-22,73.88,73.88,73.88,73.88,,-1.65%
12-06-22,75.12,75.12,75.12,75.12,,-3.10%
12-05-22,77.52,77.52,77.52,77.52,,-3.22%
12-02-22,80.1,80.1,80.1,80.1,,-1.04%
12-01-22,80.94,80.94,80.94,80.94,,-6.13%
11/30/2022,86.22,86.22,86.22,86.22,,0.04%
11/29/2022,86.19,86.19,86.19,86.19,,0.25%
11/28/2022,85.97,85.97,85.97,85.97,,0.21%
11/25/2022,85.79,85.79,85.79,85.79,,-0.11%
11/23/2022,85.88,85.88,85.88,85.88,,-0.83%
11/22/2022,86.6,86.6,86.6,86.6,,-0.02%
11/21/2022,86.62,86.62,86.62,86.62,,-0.27%
11/18/2022,86.86,86.86,86.86,86.86,,-0.84%
11/17/2022,87.59,87.59,87.59,87.59,,-1.52%
11/16/2022,88.94,88.94,88.94,88.94,,-0.56%
11/15/2022,89.44,89.44,89.44,89.44,,-0.07%
11/14/2022,89.5,89.5,89.5,89.5,,-1.77%
11-11-22,91.11,91.11,91.11,91.11,,1.96%
11-10-22,89.36,89.36,89.36,89.36,,0.63%
11-09-22,88.8,88.8,88.8,88.8,,-2.01%
11-08-22,90.62,90.62,90.62,90.62,,-2.23%
11-07-22,92.68,92.69,92.69,92.69,,-1.01%
11-04-22,93.63,93.63,93.63,93.63,,4.62%
11-03-22,89.5,89.5,89.5,89.5,,-2.58%
11-02-22,91.87,91.87,91.87,91.87,,0.71%
11-01-22,91.22,91.22,91.22,91.22,,0.10%
10/31/2022,91.13,91.13,91.13,91.13,,0.02%
10/28/2022,91.11,91.11,91.11,91.11,,-0.17%
10/27/2022,91.26,91.27,91.27,91.27,,0.11%
10/26/2022,91.16,91.16,91.16,91.16,,0.35%
10/25/2022,90.84,90.84,90.84,90.84,,-0.04%
10/24/2022,90.88,90.88,90.88,90.88,,-0.08%
10/21/2022,90.95,90.95,90.95,90.95,,0.45%
10/20/2022,90.54,90.54,90.54,90.54,,0.02%
10/19/2022,90.53,90.53,90.53,90.53,,0.68%
10/18/2022,89.92,89.92,89.92,89.92,,-0.87%
10/17/2022,90.71,90.71,90.71,90.71,,-0.09%
10/14/2022,90.79,90.78,90.78,90.78,,-1.77%
10/13/2022,92.42,92.42,92.42,92.42,,0.92%
10-12-22,91.58,91.58,91.58,91.58,,-1.46%
10-11-22,92.93,92.93,92.93,92.93,,-1.57%
10-10-22,94.42,94.42,94.42,94.42,,-1.44%
10-07-22,95.8,95.8,95.8,95.8,,3.03%
10-06-22,92.98,92.98,92.98,92.98,,0.93%
10-05-22,92.12,92.12,92.12,92.12,,1.34%
10-04-22,90.9,90.9,90.9,90.9,,3.27%
10-03-22,88.03,88.03,88.03,88.03,,-3.17%
09/30/2022,90.91,90.91,90.91,90.91,,0.11%
09/29/2022,90.81,90.81,90.81,90.81,,-0.10%
09/28/2022,90.9,90.91,90.91,90.91,,0.20%
09/27/2022,90.72,90.72,90.72,90.72,,0.24%
09/26/2022,90.5,90.5,90.5,90.5,,-0.57%
09/23/2022,91.02,91.02,91.02,91.02,,-1.26%
09/22/2022,92.18,92.18,92.18,92.18,,0.39%
09/21/2022,91.81,91.81,91.81,91.81,,-0.10%
09/20/2022,91.9,91.9,91.9,91.9,,-0.60%
09/19/2022,92.46,92.46,92.46,92.46,,0.22%
09/16/2022,92.26,92.26,92.26,92.26,,0.30%
09/15/2022,91.98,91.98,91.98,91.98,,-1.47%
09/14/2022,93.35,93.35,93.35,93.35,,0.91%
09/13/2022,92.51,92.51,92.51,92.51,,-0.91%
09-12-22,93.36,93.36,93.36,93.36,,0.63%
09-09-22,92.78,92.78,92.78,92.78,,2.89%
09-08-22,90.17,90.17,90.17,90.17,,0.91%
09-07-22,89.36,89.36,89.36,89.36,,-4.05%
09-06-22,93.13,93.13,93.13,93.13,,0.57%
09-02-22,92.6,92.6,92.6,92.6,,0.56%
09-01-22,92.08,92.08,92.08,92.08,,-4.68%
08/31/2022,96.6,96.6,96.6,96.6,,0.10%
08/30/2022,96.51,96.51,96.51,96.51,,-0.39%
08/29/2022,96.88,96.88,96.88,96.88,,0.36%
08/26/2022,96.53,96.53,96.53,96.53,,0.31%
08/25/2022,96.23,96.23,96.23,96.23,,-0.24%
08/24/2022,96.46,96.46,96.46,96.46,,0.05%
08/23/2022,96.41,96.41,96.41,96.41,,1.07%
08/22/2022,95.39,95.39,95.39,95.39,,0.00%
08/19/2022,95.39,95.39,95.39,95.39,,0.22%
08/18/2022,95.18,95.18,95.18,95.18,,1.21%
08/17/2022,94.04,94.04,94.04,94.04,,0.62%
08/16/2022,93.46,93.46,93.46,93.46,,-1.59%
08/15/2022,94.97,94.97,94.97,94.97,,-1.57%
08-12-22,96.48,96.48,96.48,96.48,,-1.73%
08-11-22,98.18,98.18,98.18,98.18,,1.35%
08-10-22,96.87,96.87,96.87,96.87,,0.93%
08-09-22,95.97,95.97,95.97,95.97,,-0.07%
08-08-22,96.04,96.04,96.04,96.04,,1.73%
08-05-22,94.41,94.41,94.41,94.41,,0.35%
08-04-22,94.08,94.08,94.08,94.08,,-1.97%
08-03-22,95.97,95.97,95.97,95.97,,-3.45%
08-02-22,99.4,99.4,99.4,99.4,,1.56%
08-01-22,97.87,97.87,97.87,97.87,,-5.09%
07/29/2022,103.12,103.12,103.12,103.12,,0.32%
07/28/2022,102.8,102.8,102.8,102.8,,0.05%
07/27/2022,102.75,102.75,102.75,102.75,,0.09%
07/26/2022,102.66,102.66,102.66,102.66,,0.03%
07/25/2022,102.63,102.63,102.63,102.63,,0.31%
07/22/2022,102.32,102.32,102.32,102.32,,-0.23%
07/21/2022,102.55,102.55,102.55,102.55,,-0.96%
07/20/2022,103.54,103.54,103.54,103.54,,-0.23%
07/19/2022,103.78,103.78,103.78,103.78,,0.19%
07/18/2022,103.58,103.58,103.58,103.58,,2.52%
07/15/2022,101.03,101.03,101.03,101.03,,1.34%
07/14/2022,99.7,99.7,99.7,99.7,,-0.30%
07/13/2022,100,100,100,100,,0.87%
07-12-22,99.14,99.14,99.14,99.14,,-4.93%
07-11-22,104.28,104.28,104.28,104.28,,0.05%
07-08-22,104.22,104.22,104.22,104.22,,2.16%
07-07-22,102.02,102.02,102.02,102.02,,3.07%
07-06-22,98.98,98.98,98.98,98.98,,-1.74%
07-05-22,100.73,100.73,100.73,100.73,,-6.63%
07-01-22,107.89,107.89,107.89,107.89,,-4.73%
06/30/2022,113.24,113.24,113.24,113.24,,0.19%
06/29/2022,113.02,113.02,113.02,113.02,,-0.07%
06/28/2022,113.11,113.11,113.11,113.11,,0.36%
06/27/2022,112.7,112.7,112.7,112.7,,0.36%
06/24/2022,112.3,112.3,112.3,112.3,,0.39%
06/23/2022,111.86,111.86,111.86,111.86,,-0.43%
06/22/2022,112.34,112.34,112.34,112.34,,-0.89%
06/21/2022,113.34,113.34,113.34,113.34,,0.55%
06/17/2022,112.72,112.72,112.72,112.72,,-2.27%
06/16/2022,115.34,115.34,115.34,115.34,,0.87%
06/15/2022,114.35,114.35,114.35,114.35,,-1.17%
06/14/2022,115.71,115.71,115.71,115.71,,-0.80%
06/13/2022,116.64,116.64,116.64,116.64,,-0.03%
06-10-22,116.67,116.67,116.67,116.67,,-0.36%
06-09-22,117.09,117.09,117.09,117.09,,-0.35%
06-08-22,117.5,117.5,117.5,117.5,,1.92%
06-07-22,115.29,115.29,115.29,115.29,,1.12%
06-06-22,114.01,114.01,114.01,114.01,,0.16%
06-03-22,113.83,113.83,113.83,113.83,,1.62%
06-02-22,112.02,112.02,112.02,112.02,,1.01%
06-01-22,110.91,110.91,110.91,110.91,,2.57%
05/31/2022,108.13,108.13,108.13,108.13,,0.35%
05/27/2022,107.75,107.75,107.75,107.75,,0.11%
05/26/2022,107.64,107.64,107.64,107.64,,0.44%
05/25/2022,107.17,107.17,107.17,107.17,,0.00%
05/24/2022,107.17,107.17,107.17,107.17,,-0.14%
05/23/2022,107.32,107.32,107.32,107.32,,0.10%
05/20/2022,107.21,107.21,107.21,107.21,,0.21%
05/19/2022,106.99,106.99,106.99,106.99,,1.38%
05/18/2022,105.53,105.53,105.53,105.53,,-1.26%
05/17/2022,106.88,106.88,106.88,106.88,,-1.40%
05/16/2022,108.4,108.4,108.4,108.4,,1.09%
05/13/2022,107.23,107.23,107.23,107.23,,2.45%
05-12-22,104.66,104.66,104.66,104.66,,0.10%
05-11-22,104.56,104.56,104.56,104.56,,4.12%
05-10-22,100.43,100.43,100.43,100.43,,-2.30%
05-09-22,102.79,102.79,102.79,102.79,,-4.44%
05-06-22,107.57,107.57,107.57,107.57,,1.10%
05-05-22,106.4,106.4,106.4,106.4,,0.41%
05-04-22,105.97,105.97,105.97,105.97,,2.50%
05-03-22,103.39,103.39,103.39,103.39,,-0.45%
05-02-22,103.86,103.86,103.86,103.86,,1.04%
04/29/2022,102.79,102.79,102.79,102.79,,0.02%
04/28/2022,102.76,102.76,102.76,102.76,,0.07%
04/27/2022,102.69,102.69,102.69,102.69,,0.00%
04/26/2022,102.69,102.69,102.69,102.69,,0.39%
